구분,씬 번호,테이블 타입,시작 타임코드,종료 타임코드,지속시간(초)
기타,1,interview,0:00:00,0:01:11,71.6
기타,2,transition,0:01:12,0:01:14,2.4
기타,3,interview,0:01:14,0:01:17,2.9
기타,4,interview,0:01:18,0:01:36,17.9
기타,5,transition,0:01:37,0:09:01,444.7

자막 정보
프레임,타임코드,영역
0,0:00:00,bottom
11,0:00:00,bottom
22,0:00:00,bottom
33,0:00:00,bottom
44,0:00:00,bottom
55,0:00:00,bottom
66,0:00:01,bottom
77,0:00:01,bottom
88,0:00:01,bottom
99,0:00:01,bottom
110,0:00:01,bottom
121,0:00:02,bottom
132,0:00:02,bottom
143,0:00:02,bottom
154,0:00:02,bottom
165,0:00:02,bottom
176,0:00:02,bottom
187,0:00:03,bottom
198,0:00:03,bottom
209,0:00:03,bottom
220,0:00:03,bottom
231,0:00:03,bottom
242,0:00:04,bottom
253,0:00:04,bottom
264,0:00:04,bottom
275,0:00:04,bottom
286,0:00:04,bottom
297,0:00:04,bottom
308,0:00:05,bottom
319,0:00:05,bottom
330,0:00:05,bottom
341,0:00:05,bottom
352,0:00:05,bottom
363,0:00:06,bottom
374,0:00:06,bottom
385,0:00:06,bottom
396,0:00:06,bottom
407,0:00:06,bottom
418,0:00:06,bottom
429,0:00:07,bottom
440,0:00:07,bottom
451,0:00:07,bottom
462,0:00:07,bottom
473,0:00:07,bottom
484,0:00:08,bottom
495,0:00:08,bottom
506,0:00:08,bottom
517,0:00:08,bottom
528,0:00:08,bottom
539,0:00:08,bottom
